protocol,contract_address,asset,supply apr,borrow apr,supplied ($),borrowed ($),supplied,borrowed
mainnet,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,2.62%,3.28%,$8.12B,$7.64B,2.38M,2.24M
mainnet,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,3.46%,4.79%,$7.30B,$5.85B,7.30B,5.86B
mainnet,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,0.00%,1.01%,$7.21B,$4.48M,1.97M,1.2K
mainnet,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0.01%,0.26%,$4.93B,$254.9M,44.0K,2.3K
mainnet,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,0.06%,0.27%,$4.75B,$1.03B,1.15M,249.9K
mainnet,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,4.04%,5.18%,$3.89B,$3.38B,3.89B,3.38B
mainnet,0x9F56094C450763769BA0EA9Fe2876070c0fD5F77,PT-sUSDE-25SEP2025,0.00%,0.00%,$1.97B,$0,2.00B,0
mainnet,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,0.00%,0.17%,$1.87B,$62.4M,16.7K,555
mainnet,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,rsETH,0.00%,0.00%,$1.12B,$173.0K,313.9K,48
mainnet,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,3.40%,6.07%,$1.04B,$777.0M,1.04B,777.2M
mainnet,0x14Bdc3A3AE09f5518b923b69489CBcAfB238e617,PT-eUSDE-14AUG2025,0.00%,0.00%,$797.5M,$0,799.9M,0
mainnet,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,osETH,0.00%,0.00%,$774.4M,$32.2K,215.9K,8.9640
mainnet,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,sUSDe,0.00%,0.00%,$711.8M,$0,600.0M,0
mainnet,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,RLUSD,0.80%,4.67%,$346.9M,$74.3M,347.0M,74.3M
mainnet,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,0.00%,0.00%,$337.6M,$0,1.35M,0
mainnet,0x8236a87084f8B84306f72007F36F2618A5634494,LBTC,0.00%,0.00%,$266.9M,$12.4K,2.4K,0.1107
mainnet,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,GHO,0.00%,5.50%,$253.7M,$169.9M,253.7M,169.9M
mainnet,0x18084fbA666a33d37592fA2633fD49a74DD93a88,tBTC,0.00%,0.18%,$229.2M,$8.25M,2.0K,73
mainnet,0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,0.00%,0.30%,$208.7M,$4.07M,13.4M,260.9K
mainnet,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,3.19%,5.04%,$177.2M,$149.5M,177.2M,149.5M
mainnet,0xae78736Cd615f374D3085123A210448E74Fc6393,rETH,0.00%,0.07%,$145.0M,$641.6K,37.2K,165
mainnet,0x657e8C867D8B37dCC18fA4Caead9C45EB088C642,eBTC,0.00%,0.00%,$125.4M,$0,1.1K,0
mainnet,0xC139190F447e929f090Edeb554D95AbB8b18aC1C,USDtb,1.64%,3.92%,$100.3M,$52.4M,100.3M,52.4M
mainnet,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,PT-sUSDE-31JUL2025,0.00%,0.00%,$99.1M,$0,99.1M,0
mainnet,0xBC6736d346a5eBC0dEbc997397912CD9b8FAe10a,PT-USDe-25SEP2025,0.00%,0.00%,$98.6M,$0,100.0M,0
mainnet,0xdC035D45d973E3EC169d2276DDab16f1e407384F,USDS,4.31%,5.24%,$82.8M,$75.7M,82.9M,75.7M
mainnet,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,ETHx,0.00%,0.01%,$81.2M,$37.4K,22.3K,10
mainnet,0xC96dE26018A54D51c097160568752c4E3BD6C364,FBTC,0.00%,0.06%,$70.9M,$444.5K,631,3.9576
mainnet,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,cbETH,0.06%,1.03%,$32.2M,$2.12M,8.5K,562
mainnet,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,0.03%,0.72%,$20.3M,$945.6K,2.29M,106.3K
mainnet,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,EURC,3.06%,4.76%,$15.0M,$10.7M,13.0M,9.28M
mainnet,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,1.22%,8.14%,$14.4M,$3.32M,16.5M,3.82M
mainnet,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,MKR,0.00%,0.00%,$12.1M,$2.7K,6.5K,1.4428
mainnet,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,PYUSD,1.56%,5.30%,$11.3M,$4.18M,11.3M,4.18M
mainnet,0x917459337CaAC939D41d7493B3999f571D20D667,PT-USDe-31JUL2025,0.00%,0.00%,$10.6M,$0,10.6M,0
mainnet,0xba100000625a3754423978a60c9317c58a424e3D,BAL,0.24%,6.55%,$10.0M,$466.8K,8.43M,392.3K
mainnet,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO,0.01%,0.33%,$4.32M,$92.2K,4.99M,106.5K
mainnet,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,RPL,1.58%,4.59%,$3.06M,$1.32M,494.4K,212.8K
mainnet,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,LUSD,3.19%,5.24%,$2.62M,$2.00M,2.62M,2.00M
mainnet,0x111111111117dC0aa78b770fA6A738034120C302,1INCH,0.02%,0.72%,$1.30M,$46.6K,5.41M,194.0K
mainnet,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,ENS,0.01%,0.60%,$1.10M,$33.1K,45.0K,1.3K
mainnet,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,eUSDe,0.00%,0.00%,$855.6K,$0,855.8K,0
mainnet,0x83F20F44975D03b1b09e64809B757c47f942BEeA,sDAI,0.00%,0.00%,$703.6K,$0,604.9K,0
mainnet,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,SNX,0.10%,11.78%,$417.9K,$72.7K,757.1K,131.6K
mainnet,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX,2.48%,4.35%,$327.4K,$233.1K,328.3K,233.7K
mainnet,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,3.39%,5.39%,$274.9K,$215.7K,275.0K,215.8K
mainnet,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,KNC,0.51%,3.58%,$23.8K,$4.3K,57.8K,10.4K
mainnet,0x50D2C7992b802Eef16c04FeADAB310f31866a545,PT-eUSDE-29MAY2025,0.00%,0.00%,$21.5K,$0,21.5K,0
mainnet,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,FXS,0.00%,0.09%,$3.6K,$16,1.3K,5.5130
mainnet,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,STG,0.01%,0.33%,$72,$1.5164,478,10
base-v3,0x4200000000000000000000000000000000000006,WETH,2.00%,2.66%,$332.1M,$294.0M,97.0K,85.9K
base-v3,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,weETH,0.00%,1.00%,$318.9M,$29.7K,86.8K,8.0878
base-v3,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,0.05%,0.69%,$240.5M,$33.0M,2.1K,292
base-v3,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USDC,5.29%,6.80%,$190.6M,$164.9M,190.6M,164.9M
base-v3,0xc1CBa3fCea344f92D9239c08C0568f6F2F0ee452,wstETH,0.04%,0.15%,$62.1M,$15.5M,15.0K,3.8K
base-v3,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,EURC,4.22%,6.46%,$27.3M,$19.9M,23.6M,17.2M
base-v3,0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee,GHO,5.63%,6.98%,$20.2M,$18.1M,20.2M,18.1M
base-v3,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,cbETH,0.00%,0.24%,$15.3M,$232.9K,4.1K,61
base-v3,0xEDfa23602D0EC14714057867A78d01e94176BEA0,wrsETH,0.00%,1.00%,$10.1M,$0,2.8K,0
base-v3,0xecAc9C5F704e954931349Da37F60E39f515c11c1,LBTC,0.00%,0.00%,$3.62M,$0,32,0
base-v3,0x63706e401c06ac8513145b7687A14804d17f814b,AAVE,0.00%,0.00%,$1.23M,$0,4.9K,0
base-v3,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,USDbC,4.13%,9.58%,$594.5K,$512.8K,594.6K,512.8K
base-v3,0x2416092f143378750bb29b79eD961ab195CcEea5,ezETH,0.00%,0.00%,$341.9K,$0,95,0
polygon-v3,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0.00%,0.13%,$126.6M,$3.18M,1.1K,28
polygon-v3,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,1.03%,2.47%,$68.6M,$33.7M,20.0K,9.8K
polygon-v3,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,3.88%,7.19%,$51.2M,$36.8M,51.2M,36.8M
